inventory_id,ui_area,kind,ui_object,object_name,test_id,qualification_level,coverage_status,automation_status,manual_followup_status,rationale,evidence
menu:mainwindow_qmenu_28,authenticity,menu,Authenticity  Provenance,mainWindow_qMenu_28,UI-PQ-AUTH-001,Functional Workflow Qualification,pending_manual,pending,synthetic audio fixture automation pending,,"evidence.json, deviations.csv"
action:add_album,catalog,action,Add Album…,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:add_selected_tracks_to_release,catalog,action,Add Selected Tracks to Release…,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:add_track,catalog,action,Add Track…,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:add_track:151,catalog,action,Add Track,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:add_track:203,catalog,action,Add Track,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:album_art,catalog,action,Album Art,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:album_art:54,catalog,action,Album Art,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:album_art:70,catalog,action,Album Art,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:album_title,catalog,action,Album Title,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:album_title:53,catalog,action,Album Title,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:album_title:69,catalog,action,Album Title,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:album_track_ordering,catalog,action,Album Track Ordering,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:attach_album_art_file,catalog,action,Attach Album Art File…,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:catalog,catalog,action,Catalog,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:catalog:152,catalog,action,Catalog,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:catalog:45,catalog,action,Catalog#,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:catalog:61,catalog,action,Catalog#,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:catalog:77,catalog,action,Catalog#,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:catalog_exchange,catalog,action,Catalog Exchange,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:catalog_exchange:11,catalog,action,Catalog Exchange,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:catalog_table,catalog,action,Catalog Table,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:catalog_table:227,catalog,action,Catalog Table,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:delete_selected_track,catalog,action,Delete Selected Track,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:export_full_party_catalog_csv,catalog,action,Export Full Party Catalog CSV…,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:export_full_party_catalog_json,catalog,action,Export Full Party Catalog JSON…,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:export_full_party_catalog_xlsx,catalog,action,Export Full Party Catalog XLSX…,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:full_catalog,catalog,action,Full Catalog,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:full_party_catalog,catalog,action,Full Party Catalog,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:master_catalog_transfer,catalog,action,Master Catalog Transfer,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:master_catalog_transfer:10,catalog,action,Master Catalog Transfer,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:media_player,catalog,action,Media Player,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:save_track,catalog,action,Save Track,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:show_add_track_panel,catalog,action,Show Add Track Panel,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:show_catalog_table,catalog,action,Show Catalog Table,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:track_length_hh_mm_ss,catalog,action,Track Length (hh:mm:ss),,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:track_length_hh_mm_ss:52,catalog,action,Track Length (hh:mm:ss),,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:track_length_hh_mm_ss:68,catalog,action,Track Length (hh:mm:ss),,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:track_title,catalog,action,Track Title,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:track_title:51,catalog,action,Track Title,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:track_title:67,catalog,action,Track Title,,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
button:actionribbonbuttonaddalbum,catalog,button,Add Album,actionRibbonButtonAddAlbum,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
button:actionribbonbuttonaddtrack,catalog,button,Add Track,actionRibbonButtonAddTrack,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
button:actionribbonbuttongs1metadata,catalog,button,GS1 Metadata,actionRibbonButtonGs1Metadata,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
button:actionribbonbuttonmediaplayer,catalog,button,Media Player,actionRibbonButtonMediaPlayer,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
button:actionribbonbuttonreleasebrowser,catalog,button,Release Browser,actionRibbonButtonReleaseBrowser,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
button:actionribbonbuttonworkmanager,catalog,button,Work Manager,actionRibbonButtonWorkManager,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
button:album_art_browse_button,catalog,button,Browse…,album_art_browse_button,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
button:album_art_clear_button,catalog,button,Clear,album_art_clear_button,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
button:catalogtableselectionfilterbutton,catalog,button,Filter to the current table cell.,catalogTableSelectionFilterButton,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
button:catalogtablezoomdecreasebutton,catalog,button,-,catalogTableZoomDecreaseButton,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
button:catalogtablezoomincreasebutton,catalog,button,+,catalogTableZoomIncreaseButton,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
button:catalogtablezoomresetbutton,catalog,button,Reset,catalogTableZoomResetButton,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
button:delete_button,catalog,button,Delete Selected,delete_button,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
button:qt_dockwidget_closebutton:372,catalog,button,qt_dockwidget_closebutton,qt_dockwidget_closebutton,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
button:qt_dockwidget_floatbutton:371,catalog,button,qt_dockwidget_floatbutton,qt_dockwidget_floatbutton,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
button:save_button,catalog,button,Create Work + Save Track,save_button,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
dock:adddatadock,catalog,dock,Add Track,addDataDock,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
dock:catalogtabledock,catalog,dock,Catalog Table,catalogTableDock,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
field:album_art_field,catalog,field,No album art selected,album_art_field,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
field:album_title_field,catalog,field,album_title_field,album_title_field,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
field:entry_date_preview_field,catalog,field,Stamped automatically when the track is first saved.,entry_date_preview_field,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
field:mainwindow_qlineedit_3,catalog,field,mainWindow_qLineEdit_3,mainWindow_qLineEdit_3,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
field:qt_spinbox_lineedit,catalog,field,1,qt_spinbox_lineedit,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
field:qt_spinbox_lineedit:392,catalog,field,qt_spinbox_lineedit,qt_spinbox_lineedit,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
field:qt_spinbox_lineedit:393,catalog,field,qt_spinbox_lineedit,qt_spinbox_lineedit,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
field:qt_spinbox_lineedit:394,catalog,field,qt_spinbox_lineedit,qt_spinbox_lineedit,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
field:record_id_field,catalog,field,Assigned automatically when you save this track.,record_id_field,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
field:track_title_field,catalog,field,track_title_field,track_title_field,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
menu:catalog_table_layout_menu,catalog,menu,Catalog Table,catalog_table_layout_menu,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
menu:mainwindow_qmenu_10,catalog,menu,Master Catalog Transfer,mainWindow_qMenu_10,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
menu:mainwindow_qmenu_11,catalog,menu,Catalog Exchange,mainWindow_qMenu_11,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
menu:mainwindow_qmenu_12,catalog,menu,Current Scope,mainWindow_qMenu_12,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
menu:mainwindow_qmenu_13,catalog,menu,Full Catalog,mainWindow_qMenu_13,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
menu:mainwindow_qmenu_16,catalog,menu,Full Party Catalog,mainWindow_qMenu_16,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
menu:mainwindow_qmenu_19,catalog,menu,Catalog,mainWindow_qMenu_19,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
menu:mainwindow_qmenu_20,catalog,menu,Workspace,mainWindow_qMenu_20,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
menu:mainwindow_qmenu_23,catalog,menu,Metadata  Standards,mainWindow_qMenu_23,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
menu:mainwindow_qmenu_24,catalog,menu,Publish,mainWindow_qMenu_24,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
menu:mainwindow_qmenu_25,catalog,menu,Audio,mainWindow_qMenu_25,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
menu:mainwindow_qmenu_5,catalog,menu,Master Catalog Transfer,mainWindow_qMenu_5,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
menu:mainwindow_qmenu_6,catalog,menu,Catalog Exchange,mainWindow_qMenu_6,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
tab_page:adddatatabs_tab_1,catalog,tab_page,Track,addDataTabs_tab_1,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
view:table,catalog,view,table,table,UI-PQ-CAT-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:contract_manager,contracts_rights,action,Contract Manager…,,UI-PQ-CON-001,Relationship Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:contract_manager:220,contracts_rights,action,Contract Manager,,UI-PQ-CON-001,Relationship Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:contracts_and_rights,contracts_rights,action,Contracts and Rights,,UI-PQ-CON-001,Relationship Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:contracts_and_rights:17,contracts_rights,action,Contracts and Rights,,UI-PQ-CON-001,Relationship Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:export_contracts_and_rights_csv_bundle,contracts_rights,action,Export Contracts and Rights CSV Bundle…,,UI-PQ-CON-001,Relationship Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:export_contracts_and_rights_json,contracts_rights,action,Export Contracts and Rights JSON…,,UI-PQ-CON-001,Relationship Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:export_contracts_and_rights_xlsx,contracts_rights,action,Export Contracts and Rights XLSX…,,UI-PQ-CON-001,Relationship Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:export_contracts_and_rights_zip_package,contracts_rights,action,Export Contracts and Rights ZIP Package…,,UI-PQ-CON-001,Relationship Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:import_contracts_and_rights_csv_bundle,contracts_rights,action,Import Contracts and Rights CSV Bundle…,,UI-PQ-CON-001,Relationship Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:import_contracts_and_rights_json,contracts_rights,action,Import Contracts and Rights JSON…,,UI-PQ-CON-001,Relationship Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:import_contracts_and_rights_xlsx,contracts_rights,action,Import Contracts and Rights XLSX…,,UI-PQ-CON-001,Relationship Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:import_contracts_and_rights_zip_package,contracts_rights,action,Import Contracts and Rights ZIP Package…,,UI-PQ-CON-001,Relationship Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:rights_matrix,contracts_rights,action,Rights Matrix…,,UI-PQ-CON-001,Relationship Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:rights_matrix:225,contracts_rights,action,Rights Matrix,,UI-PQ-CON-001,Relationship Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
button:qt_dockwidget_closebutton:358,contracts_rights,button,qt_dockwidget_closebutton,qt_dockwidget_closebutton,UI-PQ-CON-001,Relationship Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
button:qt_dockwidget_closebutton:368,contracts_rights,button,qt_dockwidget_closebutton,qt_dockwidget_closebutton,UI-PQ-CON-001,Relationship Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
button:qt_dockwidget_floatbutton:357,contracts_rights,button,qt_dockwidget_floatbutton,qt_dockwidget_floatbutton,UI-PQ-CON-001,Relationship Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
button:qt_dockwidget_floatbutton:367,contracts_rights,button,qt_dockwidget_floatbutton,qt_dockwidget_floatbutton,UI-PQ-CON-001,Relationship Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
button:scrollrightbutton,contracts_rights,button,ScrollRightButton,ScrollRightButton,UI-PQ-CON-001,Relationship Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
dock:contractmanagerdock,contracts_rights,dock,Contract Manager,contractManagerDock,UI-PQ-CON-001,Relationship Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
dock:rightsmatrixdock,contracts_rights,dock,Rights Matrix,rightsMatrixDock,UI-PQ-CON-001,Relationship Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
menu:mainwindow_qmenu_17,contracts_rights,menu,Contracts and Rights,mainWindow_qMenu_17,UI-PQ-CON-001,Relationship Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
menu:mainwindow_qmenu_8,contracts_rights,menu,Contracts and Rights,mainWindow_qMenu_8,UI-PQ-CON-001,Relationship Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:diagnostics,diagnostics,action,Diagnostics…,,UI-PQ-DIAG-001,Error/Recovery Qualification,covered,automated,,,evidence.json
action:gs1_metadata,gs1,action,GS1 Metadata…,,UI-PQ-MISC-001,UI Inventory Qualification,pending_manual,pending,feature-specific workflow automation pending,,"traceability_matrix.csv, deviations.csv"
action:create_snapshot,history_recovery,action,Create Snapshot…,,UI-PQ-MISC-001,UI Inventory Qualification,pending_manual,pending,feature-specific workflow automation pending,,"traceability_matrix.csv, deviations.csv"
action:history,history_recovery,action,History,,UI-PQ-MISC-001,UI Inventory Qualification,pending_manual,pending,feature-specific workflow automation pending,,"traceability_matrix.csv, deviations.csv"
action:redo,history_recovery,action,Redo,,UI-PQ-MISC-001,UI Inventory Qualification,pending_manual,pending,feature-specific workflow automation pending,,"traceability_matrix.csv, deviations.csv"
action:show_undo_history,history_recovery,action,Show Undo History…,,UI-PQ-MISC-001,UI Inventory Qualification,pending_manual,pending,feature-specific workflow automation pending,,"traceability_matrix.csv, deviations.csv"
action:undo,history_recovery,action,Undo,,UI-PQ-MISC-001,UI Inventory Qualification,pending_manual,pending,feature-specific workflow automation pending,,"traceability_matrix.csv, deviations.csv"
button:actionribbonbuttonshowhistory,history_recovery,button,Show Undo History,actionRibbonButtonShowHistory,UI-PQ-MISC-001,UI Inventory Qualification,pending_manual,pending,feature-specific workflow automation pending,,"traceability_matrix.csv, deviations.csv"
menu:mainwindow_qmenu_31,history_recovery,menu,History,mainWindow_qMenu_31,UI-PQ-MISC-001,UI Inventory Qualification,pending_manual,pending,feature-specific workflow automation pending,,"traceability_matrix.csv, deviations.csv"
action:export,import_export,action,Export,,UI-PQ-IMP-001,Output Qualification,covered,automated,,,"evidence.json, visual/generated_output_manifest.json"
action:export_audio_derivatives,import_export,action,Export Audio Derivatives…,,UI-PQ-IMP-001,Output Qualification,covered,automated,,,"evidence.json, visual/generated_output_manifest.json"
action:export_full_exchange_csv,import_export,action,Export Full Exchange CSV…,,UI-PQ-IMP-001,Output Qualification,covered,automated,,,"evidence.json, visual/generated_output_manifest.json"
action:export_full_exchange_json,import_export,action,Export Full Exchange JSON…,,UI-PQ-IMP-001,Output Qualification,covered,automated,,,"evidence.json, visual/generated_output_manifest.json"
action:export_full_exchange_xlsx,import_export,action,Export Full Exchange XLSX…,,UI-PQ-IMP-001,Output Qualification,covered,automated,,,"evidence.json, visual/generated_output_manifest.json"
action:export_full_exchange_xml,import_export,action,Export Full Exchange XML…,,UI-PQ-IMP-001,Output Qualification,covered,automated,,,"evidence.json, visual/generated_output_manifest.json"
action:export_full_exchange_zip_package,import_export,action,Export Full Exchange ZIP Package…,,UI-PQ-IMP-001,Output Qualification,covered,automated,,,"evidence.json, visual/generated_output_manifest.json"
action:export_master_transfer_zip,import_export,action,Export Master Transfer ZIP…,,UI-PQ-IMP-001,Output Qualification,covered,automated,,,"evidence.json, visual/generated_output_manifest.json"
action:export_selected_exchange_csv,import_export,action,Export Selected Exchange CSV…,,UI-PQ-IMP-001,Output Qualification,covered,automated,,,"evidence.json, visual/generated_output_manifest.json"
action:export_selected_exchange_json,import_export,action,Export Selected Exchange JSON…,,UI-PQ-IMP-001,Output Qualification,covered,automated,,,"evidence.json, visual/generated_output_manifest.json"
action:export_selected_exchange_xlsx,import_export,action,Export Selected Exchange XLSX…,,UI-PQ-IMP-001,Output Qualification,covered,automated,,,"evidence.json, visual/generated_output_manifest.json"
action:export_selected_exchange_xml,import_export,action,Export Selected Exchange XML…,,UI-PQ-IMP-001,Output Qualification,covered,automated,,,"evidence.json, visual/generated_output_manifest.json"
action:export_selected_exchange_zip_package,import_export,action,Export Selected Exchange ZIP Package…,,UI-PQ-IMP-001,Output Qualification,covered,automated,,,"evidence.json, visual/generated_output_manifest.json"
action:export_selected_parties_csv,import_export,action,Export Selected Parties CSV…,,UI-PQ-IMP-001,Output Qualification,covered,automated,,,"evidence.json, visual/generated_output_manifest.json"
action:export_selected_parties_json,import_export,action,Export Selected Parties JSON…,,UI-PQ-IMP-001,Output Qualification,covered,automated,,,"evidence.json, visual/generated_output_manifest.json"
action:export_selected_parties_xlsx,import_export,action,Export Selected Parties XLSX…,,UI-PQ-IMP-001,Output Qualification,covered,automated,,,"evidence.json, visual/generated_output_manifest.json"
action:import_attach,import_export,action,Import  Attach,,UI-PQ-IMP-001,Output Qualification,covered,automated,,,"evidence.json, visual/generated_output_manifest.json"
action:import_csv,import_export,action,Import CSV…,,UI-PQ-IMP-001,Output Qualification,covered,automated,,,"evidence.json, visual/generated_output_manifest.json"
action:import_exchange,import_export,action,Import  Exchange,,UI-PQ-IMP-001,Output Qualification,covered,automated,,,"evidence.json, visual/generated_output_manifest.json"
action:import_json,import_export,action,Import JSON…,,UI-PQ-IMP-001,Output Qualification,covered,automated,,,"evidence.json, visual/generated_output_manifest.json"
